rating,title,review,country,date
3,Pricy for it’s quality,"Giving four stars because the inner layer is just really awkward and uncomfortable especially while wearing it in the heat because it absorbs so much moisture and you can feel the piece of cloth moving around and it get’s to a point where every time you breathe in it the cloth attempts to enter your nostrils. It gets in the way way more than I’ve thought but other than that, it’s alright.",Canada,2020-06-04
3,They fit small,"The fabric, elastic & overall quality is great. But the masks fit pretty small. I bought 4 adult & 2 kids masks. The pictures show compassion. The navy ones are small, I don’t think I’ll be able to wear them comfortably. If I talk, it almost comes off my nose. I would say I have an average face & nose size! I bought a pink one as well, it’s a bit bigger and fits much better. The smaller adult masks are close to the child size. I’m disappointed but love the company.",Canada,2020-06-27
4,Needs filters that aren't included!,"Most of the reason I ordered this is because I'm a hospital patient, I have to wear a mask anytime someone needs to spend a chunk of time with me, and the blue hospital-provided masks are too tight for my wide head, they just about cut my ears off after a few minutes. So I see this has wider elastics with it appears to be adjusters. But at their widest they're the same width as the hospital version! And I'm not 100% sure the adjusters move, they might just be an unusual design choice. So this feature is for people with small heads, never mind us wide people.

My biggest complaint is that it needs filters to, uh, filter, you know, keep me safe, as in WHY I'm wearing a mask, but it comes with ZERO! Plus, being in the hospital, I needed this NOW, before they move me somewhere (they actually changed my room the day it arrived, it nearly went to my now ex-room), so I only wanted to order from Amazon or served by Amazon. Amazon doesn't carry or serve the filters, that I can see. It should come with SOME to start out with!

Also I wanted black, missed the Navy Blue in the description, I wish the pictures showed that better.",Canada,2020-06-11
4,fast delivery & comfortable,i recieved the wrong colour but it saves me from wearing a sock stretched across my face so its fine. i can actually breathe in this mask so that's a huge bonus! its comfortable around my ears (at least for small trips out) it also arrived in like two days. overall im happy!,Canada,2020-05-20
4,Comfortable with customizable adjustment,"I bought 4 of these and will possibly purchase more. I purchased these for me and my two teenage sons, 13 and 15. The fit is comfortable especially since we are able to adjust the nose clip and ear piece. Theu fit perfectly and we received different designs so that we'd be able to differentiate the masks. My only cons were that when first put on there is a chemical odor so they were washed immediately. Another challenge is the breathing. It may be because it isn't 100% cotton or because we are just not used to wearing masks yet. My eldest son does say that he has no issues breathing through the mask. All in all it gives me peace of mind that we are doing our part during this pandemic. We have the camo, dark red, navy and skull.

When purchased, each of them were prime and we received them within a few days. The camo one came with a few other items but when that package arrived the mask was missing. Amazon refunded it right away and I was able to purchase another camo immediately and it came within 2 days. Amazing customer service!",Canada,2020-06-23
3,On the small side,"Well made solid facemask but Unfortunately on the smaller side. A regular surgical mask provided more coverage, while this mask i feel for its size would better suit children instead of adults.",Canada,2020-05-26
5,Finally - glasses don't fog!,"I've been trying a variety of masks - and bought these in navy. I ordered just two, to try them out.

I like them so much that I am ordering more. These come with a nose wire to make sure the mask fits properly, but more importantly - they are the first masks that I've tried that don't slide down my face or clog up my glasses.

They look good too!

I would highly recommend these, especially if you are having trouble with masks not fitting close enough to avoid the dreaded eyeglass fog.

These fit well, look good and are one of the better cloth masks I've tried.",Canada,2020-06-26
5,Would Recommend for Daily Use (comfy),"Comfortable, easy to breathe. Nose clip isn't very strong but it stays up just fine. Adjustable straps worked to tighten which is awesome. Color is beautiful. Love the shape, and the little mask filters I bought separately fit good in the mask and don't bother my breathing at all. Would recommend.",Canada,2020-07-22
5,SOFT FABRIC FACE MASK,"Buy Canadian, get your delivery in couple of days. Good quality face masks of soft material, well paclaged. Highly recommended.",Canada,2020-05-22
5,So much better then paper ones. 5⭐,"So I decided to buy some masks a few months ago.
Typical black cloth style u see everywhere.
Wht i didn't realize is they were coming from China. My bad. All on me this one.
I should have dug a lil deeper into it.

So I did find a 3 pack. Purchased them.
Its been almost 2 months & nothing.
Tracking info hasn't changed yet.

So a few weeks ago I was browsing through & considering Covid-19 isn't going anywhere fast at all.
I decided to look at some again , now this time I only looked for masks on prime , as long as it comes from Amazon I'll buy them. I'm confident in there service.

I saw these masks made in Canada 🇨🇦 ...
I'm Canadian , who better to trust Eh. Lol.
Great design, they fit well & can be adjusted for a child if u forget ur kids at home or something like that.
Size adjustable..
They come in different patterns, have a filter insert built into it.
They have filters , sold separately of course. So make sure u get filters as well otherwise it's thin material & superior protection isn't assured u could say.
Filters aren't super expensive either.
50 pack is 20$ ..
I got a 10 pack the first time just to check them out.
I'll review filters soon.
Filters seem good & they fit the mask well enough. There is space that allows the filter to move around so u may need to adjust from time to time.
So far they seem solid , I've had one for a week now & its held up well so far.
Mind u I don't wear it out on the construction site.
I have disposable ones for that.
For in & out of offices, Restaurants, Groceries , Doctor's appointments, Gas stations, Those types of things I believe it works well for.
Well made , I feel like my money was well spent.

Only thing I think is off about these masks is the price.
Depending on pattern, price changes.
Just so u know.
If the price is to stay's the same , I can live with in the end of all this. Because really all I'm after is protecting my family & myself from Covid-19 , ALONG with every other person who purchases one of these masks or more. I purchased 5 masks already & 60 filters.
Add the first filter along with the mask.
Don't tell me as a company that isn't a great way to sell more masks.
It just makes sense.
Sell the customer the full product the first time & most likely they buy more.
Think about it.

Amazon
Superior service on this. Wow. 5⭐plus.
Thx u.

Weddingstar
Great product 🇨🇦 , 5⭐
Think about it , add the first filter with the mask.",Canada,2020-07-19
1,Too Small!,"I ordered adult and got masks that do not fit myself or my wife.

They are very small, tight, and difficult to breathe through.

Painful to wear on the ears because of size.

I used them for all of 3 days before buying new masks from another source.",Canada,2020-08-05
5,Good quality mask. Does the job.,"These were the second masks i decided to try out for my family. So far were very pleased with them. We can all breath easily in them and they fit quite nicely on my wife and the kids one fits on my daughter nicely. For myself the straps around the ears hurt a bit after 20min of use so i took the rubber adjustments off and it actually fit and felt better. I like the option of filters but we weren't looking for that feature with these so that was a bonus. I’ve hand washed one and let it air dry and it came out perfectly fine. I’d recommend these. They are a great, cheap option if you dont want the standard flimsy blue and white surgical masks you see everywhere these days.",Canada,2020-07-20
5,Best one for me.,"I have purchased and used a few different brand of masks now, but went back and ordered more of these ones.
The material is light making it comfortable breathing and you have an pocket to add a filter if you chose to.
No discomfort around the ears and straps are adjustable. I also appreciated the bendable wire to fit the mask around my nose for a nice fit. The price was reasonable. My adult children also all ordered these ones after seeing mine and the selection the have.",Canada,2020-07-22
1,These are not 3-Ply Masks as advertised,"These Morningstar masks are advertised as 3-Ply masks. They are 2 ply with a pocket for a filter. The material is a very thin cotton and although the measurements are given, they are no where near the size they look in the picture. We are extremely unhappy with these. Not what we expected from Amazon. We would like a refund, however when trying to return these, it says they are not returnable. However, no where did we see that when we purchased them. We ordered 2 other Morningstar masks and were able to return them, why not these?",Canada,2020-11-22
1,One more thing about this mask,"This mask does not come with the filters, you have to buy them separately. What good is it to sell a mask without the filters!!!",Canada,2020-06-16
5,Comfort and affordability,"It is easy to wear and doesn't fog up my glasses like paper masks do. The mask is well made and is comfortable to wear. I have purchased another one. The cons are that once you put the filter in, the mask becomes hot to wear with the filter in place for a long period of time. The solution is I will wear it on cooler days. The other issue is it needs hand washing. I like the mask overall and the price is right",Canada,2020-08-17
4,Happy with these masks,"I have read the other reviews for this type of mask and it depends on what you are looking for. Having spent a lot of time in and out of hospitals over the years, I did not want to use a mask that looked like a medical one. Now that face coverings are mandatory in many inside places, these offer adequate protection with the filter and with a variety of patterns, you can mix it up with your wardrobe. It has been sweltering hot lately and these are not as big and heavy as other masks I have seen people wear. I am very pleased with these masks and have purchased several in different patterns. The only down side is that they run a little on the small side for an adult male.",Canada,2020-07-08
5,Love this mask!,"This is my favourite of all the masks I've bought so far. It fits perfectly and is comfortable.
The only issue I had was that when I ordered it, Amazon's product info said that it was machine washable but when it arrived, it came with instructions that said it must be washed by hand. (Amazon has since corrected their info.) I probably wouldn't have bought it if I'd had the right info, because somehow it doesn't feel like hand washing can disinfect the way the washing machine does. I've solved the issue by hand washing and then leaving it for several days before I wear it again. Thing is, I like it so much that I will probably order a few more regardless of the washing issue.",Canada,2020-11-12
